Citizen
GROWTHS,65,20,65,45,40,25,25,55,0,0
11,21,3,10,7,8,2,5,10,6,5
15,23,4,12,9,9,3,6,12,6,5
20,27,5,16,11,11,5,8,15,6,5

PROMOTE,4,0,2,2,3,0,2,2,1,1,17
CAPS,40,15,19,17,17,20,15,19,20,20

Raider
63,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,15,3,0,1,4,0,2,0,7,5
GROWTHS,100,65,5,35,45,20,15,15,0,0
1,15,3,0,1,4,0,2,0,7,5
5,19,6,0,2,6,1,3,1,7,5
10,24,9,0,4,8,2,3,1,7,5

Berserker
110,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,19,4,0,2,7,0,4,4,10,6
GROWTHS,100,65,5,35,45,20,15,15,0,0
11,28,10,0,5,11,2,5,5,10,6
15,32,12,1,7,13,3,6,6,10,6
20,37,16,1,8,15,4,7,7,10,6

PROMOTE,4,1,0,1,3,0,2,4,3,1,19
CAPS,40,20,15,19,19,20,15,15,20,20

Dracoknight
73,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,14,5,0,3,3,0,5,0,7,6
GROWTHS,105,60,15,45,40,35,35,25,0,0
1,14,5,0,3,3,0,5,0,7,6
5,18,7,1,5,5,1,6,1,7,6
10,23,10,1,7,7,3,8,2,7,6

Dracolord
121,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,19,6,0,6,4,0,6,2,9,7
GROWTHS,105,60,15,45,40,35,35,25,0,0
11,28,11,1,10,8,3,9,4,9,7
15,33,14,2,12,9,5,11,5,9,7
20,38,17,3,14,11,6,12,7,9,7

PROMOTE,5,1,0,3,1,0,1,2,2,1,16
CAPS,40,18,15,17,16,20,19,15,20,20

Brigand
62,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,13,3,0,1,3,0,2,0,9,5
GROWTHS,110,65,0,40,25,20,15,15,0,0
1,13,3,0,1,3,0,2,0,9,5
5,17,6,0,3,4,1,3,1,9,5
10,23,9,0,5,5,2,3,1,9,5

Sentinel
67,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,13,5,0,3,1,0,5,0,9,4
GROWTHS,100,45,15,25,35,25,40,35,0,0
1,13,5,0,3,1,0,5,0,9,4
5,17,7,1,4,2,1,7,1,9,4
10,22,9,1,5,4,2,9,3,9,4

Ballista
75,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,16,6,0,8,0,0,4,3,12,0
GROWTHS,95,45,0,55,0,45,20,25,0,0
1,16,6,0,8,0,0,4,3,12,0
5,20,8,0,10,0,2,5,4,12,0
10,25,10,0,13,0,4,6,5,12,0

Archon
119,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,15,5,0,4,4,0,8,4,11,6
GROWTHS,105,55,15,40,20,35,55,35,0,0
11,24,10,1,8,6,3,13,7,11,6
15,29,12,2,9,7,5,15,9,11,6
20,34,15,3,11,8,6,18,10,11,6

PROMOTE,0,0,0,0,0,0,0,0,0,1,1
CAPS,80,20,20,20,20,20,20,20,20,20

Phantom
89,HP,STR,MAG,SKL,SPD,LCK,DEF,RES,CON,MOV
BASE,13,3,0,1,3,0,0,0,8,5
GROWTHS,95,75,0,45,60,0,20,20,0,0
11,22,10,0,5,8,0,2,2,8,5
15,25,13,0,7,11,0,3,3,8,5
20,30,15,0,9,14,0,4,4,8,5

